schwimmen,swim
benutze,use synonym <USE/SYN> [ISO 2788]
funktioniert,sth. operates
sammeln,gather [pick]
gehen,go
ich,I
ändert,sb./sth. alters
findet,sb. finds
erlaubt,allowed
englische,English edition
Vorname,forename
Publikum,audience
Gast,visiting
nicht,not
erlaube,Let me help you.
finden,find sth.
mir,me [indirect object]
Buch,Roman
bereit,ready
ist,sb./sth. is
er,he
du,you [informal]
aus,from
wir,we
das,that
nach,towards
dir,you [indirect object] [informal]
zu,""
der,the [masculine]
das,that
die,the [sg. female and plural]
mit,with <w/>
es,it
Brot,bread
wenn,when
schlecht,bad
einen,a [masculine direct object]
arbeiten,work
stehe,I prefer standing.
steht,sb. stands
weiß,white
passiert,happened
einfach,easy
wichtiger,more important
zufrieden,pleased
aktiv,active
jung,young
abhängig,addicted
verfügbar,available
leicht,easy
Pflege,foster [attr.]
Notfall,emergency
Durst,sb. durst [rare from dare ]
sauer,sour
Hunger,hunger
deine,yer [coll.]
man,one
jeder,each
welches,which
welche,which
dich,you [direct object] [informal]
hat,sb./sth. has
ihn,him [direct object]
sein,his [determiner]
seinen,his
welchen,whom
unseren,ours
um,about
zehn,ten
Untersuchung,study
Autor,author
Arbeitnehmer,employee
auf,upon
Wasser,aquatic
für,for
im,at (the)
höher,higher
wirklich,really
allgemein,generally
privat,private
knapp,scarce
stärker,stronger
eine,an [feminine subject / direct object]
Opfer,sacrificial
Unfall,accident
wohin,whereto
worüber,whereat
wann,when
warum,why
wofür,wherefore [archaic / literary]
wen,who
wessen,whose
wer,who
wieviel,how much
Familien,domestic [family]
Schwestern,sisters
Söhne,sons
finde,I think so too.
praktisch,convenient
Medizin,medicine
Krankenhaus,hospital
keine,neither
meine,"my [determiner, +female]"
gut,good
habe,[I] have
notwendig,necessary <NEC> [abbreviation rare]
ihm,him [indirect object]
wert,worth
perfekt,perfect
Medikamente,medication [drugs]
Therapie,therapy
Krankenversicherung,"health insurance [private, non-statutory]"
Gesundheit,Gesundheit!
Praxis,surgery [Br.] [doctor's office]
ein,a
hast,[you] have
Katze,cat
Fliege,fly
Bär,bear
Kuh,cow
super,super
sind,[we/they/you] are
selbstverständlich,natural
völlig,entirely
verpflichtet,obliged
begeistert,keen
beliebt,popular [with sb.]
original,original
persönlich,personal <pers.>
wesentlich,essential
jährlich,annual <ann.>
täglich,daily
plötzlich,suddenly
ruhig,calm
kürzlich,recent
leichter,lighter
schöner,better
langsamer,slower
regional,local
relativ,relatively
müde,tired
eindeutig,"clear [unmistakable, positive]"
international,international <intl.>
krank,ill
ohne,without <w/o>
vom,from [no art]
extra,extra
arbeite,I'm working on it.
wichtig,important
wissen,know
sehen,see
spiele,games
sehe,[I] see
reicht,sb./sth. reaches
beginnen,start
bezahlen,pay
früh,early
Architekten,architects
Feuerwehr,fire brigade [esp. Br.]
Rock,rock (sb./sth.) [swing back and forth]
Mantel,jacketed
Architekt,architect
gegenüber,opposite
salzig,salty
etwas,something <sth.>
zwölf,twelve
sieben,seven
Hälfte,half
paar,couple [treated as sg. or pl.]
esse,forge
einem,a [masculine / neuter indirect object]
am,[I] am
beim,at (the)
zum,the
einer,any [one of many]
durch,through
von,by
während,during
gegen,against
außer,except
aufs,on the [prep+art]
ums,no-see-ums [Am.] [Can.] [coll.] [family Ceratopogonidae] [biting midges]
einschließlich,including
den,"the [acc., sg. and pl.]"
bin,[I] am
ja,yes
dem,(to) the
euch,you [plural direct and indirect object] [informal]
unter,among
trotz,despite
hinter,behind
wegen,concerning
Stuhl,faecal [Br.]
Treppe,stairs
sehr,very
ganz,quite [rather]
bessere,closer alignment
gute,Gute (sheep)
gutes,boding well [postpos.]
alt,old
komplett,completely
kaputt,broken [in pieces; not functioning]
wie,how
egal,indifferent [pred.]
fit,fit [suitable]
herzlich,cordially
automatisch,automatically
erneut,again
neben,beside
hallo,Hello!
Flug,ptero-
Studentin,student [female]
falsch,false
sichtbar,visible
deutlich,distinct
offen,open
sinnvoll,sensible
unabhängig,independent
zur,back
gemeinsam,common [joint]
Verkehr,traffic
Weg,away
mein,my [determiner]
ins,into (the)
seit,since
sechs,six
bis,till
an,at
uns,us [direct and indirect object]
ihnen,you [singular and plural indirect object] [formal]
meinen,mean
unserem,at our establishment
unserer,ours
sie,she
mich,me [direct object]
jemand,someone <so.> [subject]
bist,[you] are
über,about [concerning]
in,into
essen,[we/they/you] eat
willkommen,welcome
wo,where [interrogative]
teuer,expensive
schmeckt,sth. smacks [tastes]
toll,terrific [coll.] [excellent]
bei,for [e.g. to work for a company]
diesem,according this
Arbeitgeberinnen,undefined method `css' for nil:NilClass
schwarze,black [female]
Arbeitgeberin,employer [female]
Zeitungen,newspapers
Student,student
Keller,basement [attr.]
hilfreich,helpful
das,that
unbekannt,unknown
extrem,extreme
ähnlich,similar
ausgezeichnet,distinguished
tatsächlich,actually
länger,longer
kleiner,less
besser,better
verantwortlich,responsible
zuständig,"concerned [responsible, competent]"
individuell,distinct
doch,however
solange,whilst [Br.]
entweder,either
oder,or
aber,but
obwohl,although
sofern,provided
bitte,"Please! <PLS, PLZ>"
tschüss,Bye! [coll.]
danke,"Thanks! <THX, TX, THKS>"
Kinder,kinder
seid,[you] are
Zeitung,newspaper
habt,[you] have
lesen,read (sth.)
liest,sb. reads
lese,gathering
Töchter,daughters
Vater,father
eher,rather
gewöhnlich,usually <usu.>
ziemlich,quite [rather]
beste,best
groß,big
größer,taller
nie,never
kein,no
Mädchen,girlish
trinke,I'll drink that!
trinkt,sb. drinks
keiner,nobody
niemals,never
nichts,nothing
genau,exactly
nein,no
neu,new
wieso,why
interessant,interesting
Fragen,ask
Antworten,reply
schnell,quickly
kurz,briefly
und,and <&>
